89	41	0
89	203	0
89	223	0
89	337	0
89	244	0
89	264	0
89	183	0
89	124	0
145	41	0
126	41	0
69	41	0
46	204	0
46	224	0
46	244	0
20	204	0
19	224	0
19	244	0
189	201	0
209	200	0
149	202	0
169	201	0
129	202	0
109	202	0
109	202	0
69	203	0
234	200	0
189	221	0
209	220	0
149	222	0
169	221	0
129	222	0
109	222	0
109	222	0
69	223	0
235	220	0
190	242	0
191	262	0
188	181	0
186	124	0
210	241	0
211	262	0
208	180	0
150	336	0
149	243	0
149	263	0
148	182	0
147	124	0
169	242	0
169	263	0
168	181	0
167	124	0
131	336	0
130	243	0
130	263	0
129	182	0
128	124	0
109	243	0
109	264	0
109	182	0
110	243	0
69	244	0
236	241	0
110	264	0
109	182	0
108	124	0
69	264	0
69	183	0
69	124	0

46	131	0
53	27	0
45	151	0
43	171	0
235	133	0
297	135	0
195	133	0
135	132	0
276	134	0
362	135	0
338	135	0
44	131	0
215	133	0
256	134	0
39	131	0
174	133	0
116	131	0
319	135	0
234	199	0
237	30	0
235	153	0
235	173	0
300	31	0
296	155	0
295	175	0
194	198	0
274	201	0
213	199	0
255	200	0
197	29	0
195	153	0
194	173	0
135	28	0
279	31	0
362	32	0
342	32	0
50	27	0
216	30	0
257	31	0
46	27	0
176	29	0
119	28	0
320	31	0
135	152	0
135	172	0
275	154	0
275	174	0
362	156	0
337	155	0
43	151	0
214	153	0
255	154	0
37	151	0
174	153	0
115	151	0
318	155	0
42	171	0
214	173	0
255	174	0
36	170	0
173	173	0
115	171	0
229	118	0
249	119	0
