107	50
107	244
107	268
107	405
107	293
107	317
107	220
107	149
175	50
152	50
83	50
56	245
56	269
56	294
25	245
24	269
23	294
227	242
251	241
179	243
203	242
156	243
132	243
132	243
83	244
281	241
228	266
252	265
179	267
203	266
156	267
132	267
132	267
83	268
283	265
229	291
230	315
226	218
224	149
253	290
254	315
250	217
181	404
180	292
180	316
178	219
177	149
204	291
204	316
202	218
201	149
158	404
157	292
157	316
155	219
154	149
132	292
132	317
132	219
133	292
83	293
284	290
133	317
131	219
130	149
83	318
83	220
83	149

170	161
463	166
68	190
78	40
66	219
63	248
342	194
431	196
283	193
197	192
401	195
526	197
491	197
65	190
312	194
372	195
58	190
253	193
169	191
463	196
340	290
344	44
341	223
341	252
436	46
430	225
429	254
282	288
398	292
310	289
370	291
286	43
283	222
282	251
197	42
406	45
526	47
496	47
73	40
314	44
374	45
68	40
256	43
174	41
465	46
197	221
197	250
400	224
399	253
526	227
490	226
63	219
311	223
371	224
55	219
253	222
168	220
462	225
62	248
311	252
371	253
53	247
252	251
167	249
460	237
500	239
